season,team,ydstogo_bin,yardline_bin,go_attempts,go_conv_rate,side,go_faced,go_stop_rate
2021,CHI,6-10,41-60,1.0,0.0,offense,,
2021,MIA,3-5,61-80,1.0,0.0,offense,,
2021,PIT,3-5,0-20,2.0,0.5,offense,,
2021,LV,6-10,21-40,1.0,0.0,offense,,
2021,CHI,6-10,21-40,1.0,1.0,offense,,
2021,SF,3-5,0-20,1.0,0.0,offense,,
2021,LA,6-10,41-60,1.0,0.0,offense,,
2021,NO,6-10,21-40,1.0,0.0,offense,,
2021,CLE,11+,81-100,1.0,0.0,offense,,
2021,CLE,2,21-40,1.0,1.0,offense,,
2021,PHI,1,41-60,1.0,1.0,offense,,
2021,LAC,6-10,0-20,1.0,1.0,offense,,
2022,ARI,2,21-40,4.0,0.25,offense,,
2022,NE,3-5,41-60,2.0,0.0,offense,,
2022,DAL,2,41-60,3.0,0.3333333333333333,offense,,
2022,DAL,11+,41-60,2.0,0.0,offense,,
2022,ARI,1,41-60,3.0,0.3333333333333333,offense,,
2022,CAR,1,41-60,2.0,0.5,offense,,
2022,DEN,2,21-40,2.0,0.5,offense,,
2022,JAX,3-5,21-40,6.0,0.1666666666666666,offense,,
2022,LAC,1,0-20,4.0,1.0,offense,,
2022,BAL,1,21-40,4.0,0.25,offense,,
2022,TEN,11+,41-60,3.0,0.0,offense,,
2022,DET,3-5,21-40,5.0,0.4,offense,,
2022,BUF,2,0-20,3.0,0.3333333333333333,offense,,
2022,DET,2,41-60,1.0,1.0,offense,,
2022,CAR,3-5,21-40,4.0,0.25,offense,,
2022,WAS,11+,21-40,2.0,0.0,offense,,
2022,PIT,3-5,21-40,1.0,0.0,offense,,
2022,CAR,1,61-80,3.0,0.3333333333333333,offense,,
2022,CAR,6-10,21-40,1.0,1.0,offense,,
2022,DEN,3-5,61-80,2.0,0.5,offense,,
2022,LAC,2,41-60,1.0,1.0,offense,,
2022,HOU,11+,81-100,1.0,0.0,offense,,
2022,LA,6-10,21-40,1.0,1.0,offense,,
2022,NYJ,6-10,21-40,4.0,0.25,offense,,
2022,DET,3-5,61-80,1.0,1.0,offense,,
2022,PIT,6-10,0-20,1.0,0.0,offense,,
2022,SEA,6-10,61-80,2.0,0.0,offense,,
2022,CAR,1,21-40,3.0,1.0,offense,,
2022,NO,11+,41-60,1.0,0.0,offense,,
2022,TEN,2,0-20,1.0,0.0,offense,,
2022,NO,3-5,0-20,2.0,0.5,offense,,
2022,PIT,1,41-60,2.0,1.0,offense,,
2022,TB,6-10,61-80,2.0,0.5,offense,,
2022,PHI,2,41-60,1.0,1.0,offense,,
2022,WAS,6-10,41-60,1.0,1.0,offense,,
2022,BUF,11+,81-100,1.0,0.0,offense,,
2022,KC,2,41-60,1.0,1.0,offense,,
2022,NYG,1,41-60,4.0,0.75,offense,,
2022,NYJ,11+,61-80,3.0,0.0,offense,,
2022,PHI,6-10,21-40,2.0,0.0,offense,,
2022,TEN,1,41-60,2.0,1.0,offense,,
2022,GB,1,41-60,1.0,0.0,offense,,
2022,DET,1,61-80,1.0,1.0,offense,,
2022,CHI,1,61-80,1.0,1.0,offense,,
2022,IND,3-5,21-40,2.0,0.5,offense,,
2022,HOU,3-5,41-60,3.0,0.3333333333333333,offense,,
2022,MIA,2,21-40,1.0,0.0,offense,,
2022,LA,11+,81-100,1.0,0.0,offense,,
2022,CIN,11+,81-100,1.0,0.0,offense,,
2022,MIN,1,61-80,3.0,0.0,offense,,
2022,CIN,3-5,21-40,1.0,0.0,offense,,
2022,IND,6-10,41-60,2.0,0.0,offense,,
2022,MIN,11+,41-60,1.0,0.0,offense,,
2022,LV,6-10,81-100,1.0,1.0,offense,,
2022,NE,6-10,61-80,1.0,0.0,offense,,
2022,SF,6-10,0-20,1.0,0.0,offense,,
2022,NE,1,41-60,1.0,1.0,offense,,
2023,CIN,3-5,61-80,2.0,0.5,offense,,
2023,CHI,3-5,0-20,1.0,1.0,offense,,
2023,IND,3-5,41-60,4.0,0.5,offense,,
